rating,imdb_id,title,year,id
0,3155794,Passage de Venus,1874,9602
0,14495706,La Rosace Magique,1877,9804
0,2221420,Sallie Gardner at a Gallop,1878,9603
0,12592084,Le singe musicien,1878,9806
0,7816420,Athlete Swinging a Pick,1881,9816
0,5459794,Buffalo Running,1883,9831
0,8588366,L’homme machine,1885,9832
0,2075247,Man Walking Around the Corner,1887,9614
0,8133192,Cockatoo Flying,1887,9836
0,7411790,Child Carrying Flowers to Woman,1887,9837
0,7541160,Jumping Over a Man’s Back-Leapfrog,1887,9838
0,7754902,Man Riding Jumping Horse,1887,9841
0,8361552,Baboon Climbing a Pole,1887,9902
0,0392728,Roundhay Garden Scene,1888,8040
0,1758563,Accordion Player,1888,9615
0,0343112,Traffic Crossing Leeds Bridge,1888,9616
0,3274100,Pferd und Reiter Springen uber ein Hindernis,1888,9675
0,2116853,Brighton Street Scene,1888,9947
0,0466876,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",1889,9619
0,2116898,Hyde Park Corner,1889,9945
0,0361921,"Monkeyshines, No. 1",1890,9617
0,0416046,"Monkeyshines, No. 2",1890,9618
0,1202028,London’s Trafalgar Square,1890,9621
0,0416047,"Monkeyshines, No. 3",1890,9678
0,5285442,Mosquinha,1890,9946
0,2116968,"Traffic in King’s Road, Chelsea",1890,9944
0,0241373,Dickson Greeting,1891,9626
0,0241715,Men Boxing,1891,9628
0,0241763,Newark Athlete,1891,9629
0,0241393,"Duncan and Another, Blacksmith Shop",1891,9792
0,0241392,Duncan Smoking,1891,9793
0,0241394,Duncan or Devonald with Muslin Cloud,1891,9794
0,0241735,"Monkey and Another, Boxing",1891,9795
0,3201916,Je vous aime,1891,9800
0,3508566,La vague,1891,9802
0,5447082,Two Fencers,1891,9943
0,0000003,Pauvre Pierrot,1892,5433
0,0000004,Un bon bock,1892,9631
0,0000002,Le clown et ses chiens,1892,9632
0,0241446,Fencing,1892,9951
0,0234520,Le prince de Galles,1892,9952
0,0242148,Wrestling,1892,9948
0,0241266,Boxing,1892,9986
0,0000005,Blacksmith Scene,1893,9583
0,0229217,Annabelle Butterfly Dance,1894,9636
0,8419312,Edison Kinetoscope Records: Annie Oakley,1894,9642
0,0000015,Autour d’une cabine,1894,9646
0,0229235,The Barbershop,1894,9648
0,0309396,Bucking Broncho,1894,9649
0,0309402,Buffalo Dance,1894,9650
0,0000001,Carmencita,1894,9651
0,0000008,Edison Kinetoscopic Record of a Sneeze,1894,9652
0,0177707,Dickson Experimental Sound Film,1894,9654
0,0000006,Chinese Opium Den,1894,9655
0,0000007,Corbett and Courtney Before the Kinetograph,1894,9656
0,2049440,Falling Cat,1894,9662
0,0312728,"Glenroy Bros., No. 2",1894,9663
0,0256782,Glenroy Brothers,1894,9664
0,0203646,Leonard-Cushing Fight,1894,9668
